Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
Watch,W6845,W6845,Used,Rolex,16233,W505201,Yes,Datejust 26,36mm,Steel and Yellow Gold,99.10g,GCI,LA - Main,Per/Pc,39912,Ookura,8/17/2021,,"5,300.00","19,292.00","6,350.00","11,700.00",1,,,Datejust 36 Quik Set Sapphire Two Tone,,,1,0,W505201,1996,Champagne Roman,Fluted YG, Jubilee D, 4s, D
Watch,W6846,W6846,Used,Rolex,16013,9716194,No,Datejust,36mm,Steel and Yellow Gold,98.20g,GCI,LA - Main,Per/Pc,39912,Ookura,8/17/2021,,"4,900.00","17,836.00","5,550.00","11,700.00",1,,,Datejust 36 Quick Set Plastic Two Tone,,,1,0,9M,1986,Champagne Stick,,,,
Watch,W6847,W6847,Used,Rolex,16233,C110759,No,Datejust,36mm,Steel and Yellow Gold,55.00g,GCI,LA - Main,Per/Pc,39908,Ookura,8/17/2021,,"4,400.00","16,016.00","5,500.00","11,700.00",1,,,Datejust 36 Quick Set Sapphire Two Tone,,,1,0,C,1992,Champagne Stick,Fluted YG, Head only, HO, HO
Watch,W6848,W6848,Used,Rolex,16233,W505217,Yes,Datejust,36mm,Steel and Yellow Gold,54.80g,GCI,LA - Main,Per/Pc,39913,Ookura,8/17/2021,,"4,700.00","17,108.00","6,000.00","11,700.00",1,,,Datejust 36 Quick Set Sapphire Two Tone,,,1,0,W,1997,Champagne Stick,Fluted YG, Head only, HO, HO
Watch,W6850,W6850,Used,Rolex,16233,X727149,No,Datejust,36mm,Steel and Yellow Gold,103.80g,GCI,LA - Main,Per/Pc,39912,Ookura,8/17/2021,,"5,200.00","18,928.00","5,800.00","11,700.00",1,,,Datejust 36 Quick Set Sapphire Two Tone,,,1,0,W,1997,Champagne Stick,Fluted YG, Jubilee D, 6s, D
Watch,W6851,W6851,Used,Rolex,16013,R219351,No,Datejust,36mm,Steel and Yellow Gold,101.80g,GCI,LA - Main,Per/Pc,39914,Ookura,8/17/2021,,"4,500.00","16,380.00","5,850.00","11,700.00",1,,,Datejust 36 Quick Set Plastic Two Tone,,,1,0,R,1988,Champagne Stick,Fluted YG, Jubilee D, 5s, D
Watch,W6853,W6853,NNS,Rolex,126300,988719X7,Yes,Datejust,40mm,Steel,137.90g,GCI,LA - Main,Per/Pc,39910,Ookura,8/17/2021,,"8,600.00","31,304.00","12,000.00","7,650.00",1,,,Datejust 40 New Style Steel,,,1,0,SCR,2021,Blue Roman, Smooth, Oyster,7s, A
Watch,W6856,W6856,Used,Rolex,68240,W738346,No,Datejust,31mm,Steel,76.20g,GCI,LA - Main,Per/Pc,39908,Ookura,8/17/2021,,"4,400.00","16,016.00",0,"6,600.00",1,,,Datejust 31 Quick Set Sapphire Steel,,,1,0,W,1995,Blue Roman, Smooth, Oyster, 4s, A
Watch,W6857,W6857,Used,Rolex,1601,1639501,No,Datejust,36mm,Steel,44.20g,GCI,LA - Main,Per/Pc,39908,Ookura,,,"3,000.00","10,920.00","4,000.00","8,550.00",1,,,Datejust 36 Non Quick Plastic Steel,,,1,0,1M,1962,Silver Stick, Fluted WG, Head only, HO, HO
Watch,W6858,W6858,Used,Rolex,79173,P113946,No,Datejust,26mm,Steel and Yellow Gold,56.60g,GCI,LA - Main,Per/Pc,39907,Ookura,8/17/2021,,"3,600.00","13,104.00",0,"9,550.00",1,,,Datejust 26 Quick Set Sapphire Two Tone,,,1,0,P,2000,Champagne Stick,Fluted YG, Jubilee D, 5s, A
Watch,W6859,W6859,Used,Rolex,6917,3549506,No,Datejust,26mm,Steel and Yellow Gold,48.30g,GCI,LA - Main,Per/Pc,39907,Ookura,8/17/2021,,"2,550.00","9,282.00","4,500.00","9,550.00",1,,,Datejust 26 Non Quick Plastic Two Tone,,,1,0,3M,1972,Champagne Stick,Fluted YG, Jubilee B, 0s, D
Watch,W6860,W6860,Used,Rolex,6917,6059081,No,Datejust,26mm,Steel,47.50g,GCI,LA - Main,Per/Pc,39908,Ookura,8/17/2021,,"2,500.00","9,100.00","4,000.00","7,800.00",1,,,Datejust 26 Non Quick Plastic Steel,,,1,0,6M,1979,Silver Stick, Fluted WG, Jubilee D, 3s, A
Watch,W6862,W6862,Used,Rolex,69240,S942335,No,Datejust,26mm,Steel,50.80g,GCI,LA - Main,Per/Pc,39909,Ookura,8/17/2021,,"2,950.00","10,738.00",0,"6,750.00",1,,,Datejust 26 Quick Set Sapphire Steel,,,1,0,S,1993,Blue Stick, Engine-Turned, Jubilee D, 5s, A
Watch,W6863,W6863,Used,Rolex,179174,D220285,No,Datejust,26mm,Steel,67.10g,GCI,LA - Main,Per/Pc,39909,Ookura,8/17/2021,,"4,600.00","16,744.00","6,000.00","9,750.00",1,,,Datejust 26Quick Set Steel Crownclasp,,,1,0,D,2005,Black Diamond, Fluted WG, Jubilee D, 6s, A
Watch,W6864,W6864,Used,Rolex,6917,3681194,No,Datejust,26mm,Steel,43.40g,GCI,LA - Main,Per/Pc,39909,Ookura,8/17/2021,,"2,200.00","8,008.00","4,000.00","7,800.00",1,,,Datejust 26 Non Quick Plastic Steel,,,1,0,3M,1972,Silver Stick, Fluted WG, Jubilee B, 0s, E
Watch,W6865,W6865,Used,Rolex,69174,R502066,Yes,Datejust,26mm,Steel,48.50g,GCI,LA - Main,Per/Pc,39912,Ookura,8/17/2021,,"3,000.00","10,920.00","4,850.00","7,800.00",1,,,Datejust 26 Quick Set Sapphire Steel,,,1,0,R,1988,Gray Tapestry Stick, Fluted WG, Jubilee D, 3s, D
