Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
Watch,W7492,W7492,New,Cartier,W2PN0006,4023350283BX,Yes,Panthere de Cartier,22mm,Steel and Yellow Gold,60.10g,GCI,LA - Main,Per/Pc,,Bhindi Jewelers,05-10-2022,,"5,635.00","20,511.40",0,"8,050.00",1,,,Panthere de Cartier 22 Two Tone ,,,1,0,SCR,2022,Silver Standard, Standard YG, Standard, 8s, A
