Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
Watch,W0734,W0736,Used,Rolex,Rolex - x,x,No,Day-Date,36mm,White Gold,121.20g,GCI,Show,Per/Pc,,Runal,,,2500,9100,15000,7970,1,,,Custom Iced out Diamond Day-Date,,,1,0,,x,Custom Full Pave, Custom Diamond, Iced out President, 5s, A
Watch,W1166,W1166,Used,Rolex,6636,1205096,No,Datejust,35mm,Yellow Gold,50.00g,GCI,Show,Per/Pc,,Marisela,2/28/2016,,"1,900.00","6,916.00","9,000.00","28,550.00",1,,,Datejust 31 Yellow Gold,,,1,0,1 M,1959,White MOP Dia VI, Diamond, Leather, 0s, A
Watch,W2005,W2005,Used,Rolex,6517,464318,No,Datejust,26mm,Yellow Gold,30.00g,GCI,LA - Main,Per/Pc,None,Happy Price,5/25/2017,,"1,900.00","6,916.00","2,280.00","23,850.00",1,,,Datejust Ladies yellow Gold with Holes,,,1,0,400K,1946,Champagne Stick,Fluted YG, Head only, HO, HO
Watch,W2012,W2012,Used,Rolex,69278,E962907,No,Datejust,26mm,Yellow Gold,74.30g,GCI,LA - Main,Per/Pc,,Happy Price,6/15/2017,,"4,000.00","14,560.00","7,500.00","23,850.00",1,,,Datejust Ladies YG President,,,1,0,E,1990,Champagne Stick, Bark-Finish, President Bark, 5s,B
Watch,W2018,W2018,Used,Rolex,69278,8470187,No,Datejust,26mm,Yellow Gold,32.80g,GCI,LA - Main,Per/Pc,,Happy Price,6/15/2017,,"1,900.00","6,916.00","2,280.00","23,850.00",1,,,Datejust Ladies YG President,,,1,0,8 M,1984,Champagne Stick,Bark-Finish,Head only,HO,HO
Watch,W2037,W2037,Used,Rolex,6611,187542,No,Day-Date,36mm,Yellow Gold,50.90g,GCI,LA - Main,Per/Pc,,AnthonynBench Hes,6/2/2017,,"4,100.00","14,924.00","8,500.00","33,150.00",1,,,Day-Date YG Head Only,,,1,0,100K,1940,Silver Stick,Fluted YG, Head only, HO, HO
Watch,W2040,W2040,Used,Rolex,6605,266969,No,Datejust,36mm,Steel and Yellow Gold,42.80g,GCI,LA - Main,Per/Pc,,Izzy Sagi Friend,,,"1,500.00","5,460.00","1,800.00","11,700.00",1,,,Datejust 36 Two Tone Head Only,,,1,0,200K,1943,Black Stick,Fluted YG,Head Only,HO,HO
Watch,W2058,W2058,Used,Rolex,16264,F137847,No,Datejust,36mm,Steel PVD,96.50g,GCI,LA - Main,Per/Pc,,Khan,6/2/2017,,"3,500.00","12,740.00","8,500.00","7,900.00",1,,,Datejust 36 Steel PVD Army Custom,,,1,0,F,2003,Custom Army Stick, Engine-Turned with Minute, Painted LTHR, LTHR, LTHR
Watch,W2092,W2092,Used,Rolex,1500,6017739,No,Date,34mm,Steel and Yellow Gold,46.10g,GCI,LA - Main,Per/Pc,,John Grahm,6/26/2017,,"1,200.00","4,368.00","1,440.00","11,700.00",1,,,Date Two Tone Non Quick with holes Head Only,,,1,0,6 M,1979,Buckley,Fluted YG,Head only,HO,HO
Watch,W2102,W2102,Used,Rolex,18248,L423026,No,Day-Date,36mm,Yellow Gold,137.30g,GCI,LA - Main,Per/Pc,,Happy Price,7/18/2017,,"12,200.00","44,408.00","17,500.00","33,150.00",1,,,Day Date President Double Quick Bark Finish,,,1,0,L,1989,Ivory Pyramid Roman, Bark-Finish YG, President Bark, 5s,B
Watch,W2501,W2501,Used,Rolex,6927,5041203,No,Datejust,26mm,Yellow Gold,30.70g,GCI,LA - Main,Per/Pc,,Craig Small,11/6/2017,,"1,800.00","6,552.00","2,160.00","23,850.00",1,,,President 26 With Holes/Head only,,,1,0,5 M,1977,Champagne Stick,Bark Bezel,Head only,HO,HO
Watch,W2552,W2552,Used,Rolex,16610T,V488263,No,Submariner Date,40mm,Steel,126.80g,GCI,LA - Main,Per/Pc,,Bright Time,,,"5,550.00","20,202.00","6,660.00","8,950.00",1,,,Submariner Date Steel,,,1,0,V,2008,Black Standard,Black Standard,Oyster,2s,B
Watch,W2598,W2598,Used,Rolex,18038,6156409,No,Day-Date,36mm,Yellow Gold,125.90g,GCI,LA - Main,Per/Pc,,Zane's Watches,12/6/2017,,"9,100.00","33,124.00","10,920.00","46,250.00",1,,,Day Date 36 Single Quick,,,1,0,6 M,1979,Custom Navy Blue Baguette , Custom Diamond, President, 5s,B
Watch,W2734,W2734,Used,Rolex,18039,9899745,No,Day-Date,36mm,White Gold,134.52g,GCI,LA - Main,Per/Pc,,Ookura,1/7/2018,,"7,400.00","26,936.00","22,500.00","7,970.00",1,,,Day Date 36,,,1,0,9M,1987,Full Pave Diamond & 10 Sapphire, Diamond WG, President Full Diamond, 9s,B
Watch,W2819,W2819,Used,Rolex,1803,4275961,No,Day-Date,36mm,Yellow Gold,53.40g,GCI,LA - Main,Per/Pc,,Marisela,1/8/2018,,"4,100.00","14,924.00","8,000.00","33,150.00",1,,,Day Date 36mm Non Quick,,,1,0,4M,1975,Silver Stick,Fluted YG, Head only, HO, HO
Watch,W2970,W2970,Used,Rolex,18038,5761555,Yes,Day-Date,36mm,Yellow Gold,127.93g,GCI,LA - Main,Per/Pc,,Watch Empire,3/2/2018,,"6,000.00","21,840.00","7,200.00","36,150.00",1,,,Day Date 36,,,1,0,5M,1979,Champagne Diamond,Fluted YG, President, 0s, D
Watch,W2986,W2986,Used,Rolex,6917,5181030,No,Datejust,26mm,Yellow Gold,30.57g,GCI,LA - Main,Per/Pc,,Stein Diamonds,2/14/2018,,"3,850.00","14,014.00","5,500.00","23,850.00",1,,,Datejust 26 Non Quick,,,1,0,5M,1977,Champagne Stick,Fluted YG, Head only, HO, HO
Watch,W3030,W3030,Used,Rolex,6917,5893544,No,Datejust,26mm,Yellow Gold,31.60g,GCI,LA - Main,Per/Pc,,Ookura,3/24/2018,,"2,000.00","7,280.00",0,"33,500.00",1,,,Datejust 26 Non Quick,,,1,0,5M,1978,Black Diamond,YG Diamond Bezel,Head only,HO,HO
Watch,W3041,W3041,Used,Rolex,1505,3007542,No,Date,36mm,Steel and Yellow Gold,44.00g,GCI,LA - Main,Per/Pc,,RK Enterpise LTD.,3/26/2018,,"1,500.00","5,460.00","1,800.00","11,700.00",1,,,Date 34 Non Quick Two Tone,,,1,0,3M,1970,Champagne Stick,Fluted YG,Head only,HO,HO
Watch,W3119,W3119,Used,Rolex,1505,2708897,No,Date,34mm,Steel and Yellow Gold,89.86g,GCI,LA - Main,Per/Pc,,Zane's Watches,4/4/2018,,"1,800.00","6,552.00","6,500.00","11,600.00",1,,,Date 34 Non Quick Two Tone,,,1,0,2M,1969,Champagne Doorstop Hourmarker, Engine turned YG, Oyster, 3s,B
Watch,W3297,W3297,Used,Rolex,1625,1153668,No,Datejust,36mm,Steel,80.40g,GCI,LA - Main,Per/Pc,,Ookura,5/27/2018,,"1,850.00","6,734.00","2,220.00","7,300.00",1,,,Datejust 36 Plastic Non Quick Steel,,,1,0,1M,1959,Silver Stick,Engine Turned,Jubilee B,0s,D
Watch,W3299,W3299,Used,Rolex,1803,1640723,No,Day-Date,36mm,Yellow Gold,62.70g,GCI,LA - Main,Per/Pc,,Ookura,5/27/2018,,"4,100.00","14,924.00","8,500.00","33,150.00",1,,,Day Date 36 Non Quick,,,1,0,1M,1963,Custom Baby Pink Stick,Fluted YG, Painted LTHR, LTHR, LTHR
Watch,W3366,W3366,Used,Rolex,6694,1854956,No,Date,34mm,Steel,61.55g,GCI,LA - Main,Per/Pc,,Exquisite Jewelers,5/31/2018,,"2,750.00","10,010.00","3,300.00","6,500.00",1,,,Date 34 Plastic Non Quick Steel,,,1,0,1M,1986,Silver Stick,Smooth,Oyster Old Style,,B
Watch,W3377,W3377,Used,Rolex,1803,3681909,No,Day-Date,36mm,Yellow Gold,54.10g,GCI,LA - Main,Per/Pc,,Watch Empire,6/13/2018,,"4,300.00","15,652.00","5,160.00","33,150.00",1,,,Day-Date 36 Non Quick,,,1,0,3M,1972,Cream Diamond,Bark YG,Head Only,HO,HO
Watch,W3537,W3537,Used,Rolex,1807,0,No,Day-Date,36mm,Yellow Gold,64.50g,GCI,LA - Main,Per/Pc,,Boneta Inc.,7/11/2018,,"4,100.00","14,924.00","8,500.00","33,150.00",1,,,Day-Date 36 Plastic Non-Quick,,,1,0,,,Champagne Linen Stick, Bark Finish YG, Leather, LTHR, LTHR
Watch,W3543,W3543,Used,Rolex,16610T,M087431,No,Submariner Date,40mm,Steel,135.57g,GCI,LA - Main,Per/Pc,,Micha Inc,7/16/2018,,"6,300.00","22,932.00","7,560.00","8,950.00",1,,,Submariner Date Steel,,,1,0,M,2007,Black Standard,Black Standard,Oyster,6s,A
Watch,W3875,W3875,Used,Rolex,6917,458941,No,Datejust,26mm,Yellow Gold,28.70g,GCI,LA - Main,Per/Pc,,Ookura,9/11/2018,,"1,400.00","5,096.00","5,500.00","23,850.00",1,,,Datejust 26 Non Quick,,,1,0,400K,1956,Champagne Linen Stick,Fluted YG, Head only, HO, HO
Watch,W3921,W3921,Used,Omega,176.0014,0,No,Speedmaster,40mm,Steel,134.70g,GCI,LA - Main,Per/Pc,,Alberto Agraz,10/17/2018,,600,"2,184.00",720,"6,460.00",1,,,Speedmaster Day-Date Automatic,,,1,0,,,Dark Blue Standard,Steel Standard,Standard,3s,B
