Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
Watch,W7426,W7426,New NS,Rolex,126000,29T8T230,Yes,Oyster Perpetual,36mm,Steel,125.50g,GCI,LA - Main,Per/Pc,Inv #10211,"Simon Diamond, Inc",3/30/2022,,"13,750.00","50,050.00",0,"5,800.00",1,,,Oyster Perpetual 36 Steel,,,1,0,SCR,2021,Red Coral Index, Smooth, Oyster,7s, A
Watch,W7429,W7429,New NS,Rolex,277200,16MH5064,Yes,Oyster Perpetual,31mm,Steel,92.70g,GCI,LA - Main,Per/Pc,4 INV309,Hamida Limited Company,3/31/2022,,"12,000.00","43,680.00",0,"5,400.00",1,,,Oyster Perpetual 31 Steel,,,1,0,SCR,2021,Red Coral Index, Smooth, Oyster,7s, A
Watch,W7430,W7430,New NS,Rolex,277200,N669Q493,Yes,Oyster Perpetual,31mm,Steel,92.10g,GCI,LA - Main,Per/Pc,Invoice 4 INV213,Hamida Limited Company,3/31/2022,,"12,000.00","43,680.00",0,"5,400.00",1,,,Oyster Perpetual 31 Steel,,,1,0,SCR,2021,Red Coral Index, Smooth, Oyster,7s, A
Watch,W7431,W7431,Used,Rolex,116528,Y135804,No,Daytona,40mm,Yellow Gold,181.60g,GCI,LA - Main,Per/Pc,43761,Exec Time Inc,04-04-2022,,"41,500.00","1,51,060.00",0,"37,550.00",1,,,Daytona 40 Yellow Gold,,,1,0,Y,2002,Black/Yellow Standard, Standard YG, Oyster, 5s, A
Watch,W7432,W7432,Used,Rolex,218206,V403047,Yes,Day Date,41mm,Platinum,273.80g,GCI,LA - Main,Per/Pc,None,Luxury Bazaar INC,3/31/2022,,"67,000.00","2,43,880.00",0,0,1,,,Day-Date 41 Platinum,,,1,0,V,2010,Blue Glacier Roman, Smooth, President, 8s, A
Watch,W7434,W7434,New,Rolex,277200,QX282365,Yes,Oyster Perpetual,31mm,Steel,94.20g,GCI,LA - Main,Per/Pc,Invoice 4 INV314,Hamida Limited Company,04-06-2022,,"11,000.00","40,040.00",0,"5,400.00",1,,,Oyster Perpetual 31 Steel,,,1,0,SCR,2021,Yellow Index, Smooth, Oyster,7s, A
Watch,W7435,W7435,New,Rolex,277200,0P8782Q0,Yes,Oyster Perpetual,31mm,Steel,93.50g,GCI,LA - Main,Per/Pc,Invoice 4 INV314,Hamida Limited Company,04-06-2022,,"11,000.00","40,040.00",0,"5,400.00",1,,,Oyster Perpetual 31 Steel,,,1,0,SCR,2021,Yellow Index, Smooth, Oyster,7s, A
Watch,W7437,W7437,New,Rolex,124273,4G6713Z7,Yes,Explorer,36mm,Steel and Yellow Gold,133.10g,GCI,LA - Main,Per/Pc,None,Watch Empire,04-07-2022,,"11,000.00","40,040.00",0,"11,150.00",1,,,Explorer 36 Two Tone,,,1,0,SCR,2022,Black Standard, Smooth YG, Oyster,7s, A
Watch,W7438,W7438,Used,Rolex,116500LN,268T8253,Yes,Daytona,40mm,Steel,141.60g,GCI,LA - Main,Per/Pc,GCI Bill 472022,Santa Monica Jewelry & Loan,04-07-2022,,"35,000.00","1,27,400.00",0,"14,550.00",1,,,Daytona 40 Ceramic Steel,,,1,0,SCR,2018,Black Standard, Black Ceramic Standard, Oyster, 8s, A
Watch,W7439,W7439,Used,Rolex,326935,074S3737,Yes,Sky-Dweller,42mm,Rose Gold,243.30g,GCI,LA - Main,Per/Pc,04-07-2022,Benari Jewelers,04-07-2022,,"60,000.00","2,18,400.00",0,"49,350.00",1,,,Sky-Dweller 42 Rose Gold,,,1,0,SCR,2017,Pink Roman, Fluted RG, Oyster,7s, A
Watch,W7440,W7440,New NS,Rolex,277200,99NA9735,Yes,Oyster Perpetual,31mm,Steel,92.30g,GCI,LA - Main,Per/Pc,Buy Bk 912405,Paironi,04-11-2022,,"10,250.00","37,310.00",0,"5,400.00",1,,,Oyster Perpetual 31 Steel,,,1,0,2022,2022,Red Coral Index, Smooth, Oyster,7s, A
Watch,W7442,W7442,Used,Rolex,126333,Z22707A9,Yes,Datejust,40mm,Steel and Yellow Gold,148.90g,GCI,LA - Main,Per/Pc,04-07-2022,"Doug Gruenberg, Inc.",04-07-2022,,"15,250.00","55,510.00",0,"15,550.00",1,,,Datejust 40 New Style Two Tone,,,1,0,SCR,2017,Black Diamond,Fluted YG,Jubilee, 9s, A
Watch,W7443,W7443,New,Bulgari,103297,BU1BMEL,Yes,OCTO FINISSIMO,40mm,Steel,114.60g,GCI,LA - Main,Per/Pc,BuyBk 912406,Sophie Kiani,04-01-2022,,"8,000.00","29,120.00",0,"12,200.00",1,,,Octo Finissimo 40 Steel,,,1,0,SCR,2021,Black Standard, Steel Standard, Steel Standard,, A
Watch,W7445,W7445,Used,Rolex,116333,G320268,Yes,Datejust,41mm,Steel and Yellow Gold,156.80g,GCI,LA - Main,Per/Pc,04-07-2022,"Doug Gruenberg, Inc.",4/22/2022,,"11,950.00","43,498.00",0,"12,900.00",1,,,Datejust 41 Two Tone,,,1,0,G,,Champagne Index,Fluted YG, Oyster,7s, A
Watch,W7446,W7446,Used,Rolex,116333,G00971J4,Yes,Datejust,41mm,Steel and Yellow Gold,154.70g,GCI,LA - Main,Per/Pc,04-07-2022,"Doug Gruenberg, Inc.",04-07-2022,,"11,950.00","43,498.00",0,"12,900.00",1,,,Datejust 41 Two Tone,,,1,0,SCR,2013,White Index,Fluted YG, Oyster, 6s, A
Watch,W7447,W7447,Used,Rolex,116333,8T325013,Yes,Datejust,41mm,Steel and Yellow Gold,159.00g,GCI,LA - Main,Per/Pc,04-07-2022,"Doug Gruenberg, Inc.",04-07-2022,,"11,950.00","43,498.00",0,"12,900.00",1,,,Datejust 41 Two Tone,,,1,0,SCR,2013,Champagne Index,Fluted YG, Oyster,7s, A
Watch,W7448,W7448,Used,Rolex,116333,6W12H629,Yes,Datejust,41mm,Steel and Yellow Gold,156.60g,GCI,LA - Main,Per/Pc,04-07-2022,"Doug Gruenberg, Inc.",04-07-2022,,"11,950.00","43,498.00",0,"12,900.00",1,,,Datejust 41 Two Tone,,,1,0,SCR,2013,Black Roman,Fluted YG, Oyster,7s, A
Watch,W7452,W7452,Used,Rolex,79174,P927447,No,Datejust,26mm,Steel,51.10g,GCI,LA - Main,Per/Pc,12.04.2022,SR INC,04-12-2022,,"3,600.00","13,104.00",0,"8,050.00",1,,,Datejust 26 Quick Set Sapphire Steel,,,1,0,P,2000,White MOP Arabic, Fluted WG,Jubilee, 4s, A
Watch,W7453,W7453,Used,Rolex,16570,F398409,Yes,Explorer II,40mm,Steel,125.60g,GCI,LA - Main,Per/Pc,12.04.2022,SR INC,04-12-2022,,"7,700.00","28,028.00",0,"9,500.00",1,,,Explorer II 40 Steel,,,1,0,F,2005,Black Standard, Steel Standard, Oyster, 5s, A
Watch,W7454,W7454,Used,Rolex,16570,A221661,Yes,Explorer II,40mm,Steel,118.20g,GCI,LA - Main,Per/Pc,12.04.2022,SR INC,04-12-2022,,"7,700.00","28,028.00",0,"9,500.00",1,,,Explorer II 40 Steel,,,1,0,A,1999,White Standard, Steel Standard, Oyster, 3s, C
Watch,W7455,W7455,New,Rolex,116231,91D951T8,Yes,Datejust,36mm,Steel and Rose Gold,138.20g,GCI,LA - Main,Per/Pc,12.04.2022,SR INC,04-12-2022,,"11,500.00","41,860.00",0,"14,150.00",1,,,Datejust 36 New Style Two Tone Crownclasp,,,1,0,SCR,2020,Chocolate Floral 6&9 Diamond Markers, Fluted RG,Jubilee, 9s, A
Watch,W7456,W7456,New,Rolex,279171,9085423,Yes,Datejust,28mm,Steel and Rose Gold,76.90g,GCI,LA - Main,Per/Pc,12.04.2022,SR INC,04-12-2022,,"8,600.00","31,304.00",0,"10,200.00",1,,,Datejust 28 New Style Two Tone Crownclasp,,,1,0,SCR,2020,Chocolate Roman, Fluted RG,Jubilee, 8s, A
Watch,W7457,W7457,New NS,Rolex,126622,02D81355,Yes,Yacht-Master,40mm,Steel,150.60g,GCI,LA - Main,Per/Pc,12.04.2022,SR INC,04-12-2022,,"15,800.00","57,512.00",0,"12,350.00",1,,,Yacht-Master 40 Steel Platinum Bezel,,,1,0,SCR,2021,Gray Standard, Platinum Standard, Oyster, 8s, A
Watch,W7458,W7458,Used,Rolex,69178,L402869,No,Datejust,26mm,Yellow Gold,72.60g,GCI,LA - Main,Per/Pc,4/13/2022,Abercrombie Gems & Precious Metals,4/13/2022,,"5,500.00","20,020.00",0,"29,250.00",1,,,Datejust 26 Quick Set Sapphire Yellow Gold,,,1,0,L,1989,Champagne Stick,Fluted YG, President, 3s, A
Watch,W7459,W7459,Used,Bertolucci,111805568,3025,No,Pulchra,24mm,Yellow Gold,76.60g,GCI,LA - Main,Per/Pc,4/13/2022,Abercrombie Gems & Precious Metals,4/13/2022,,"2,300.00","8,372.00",0,0,1,,,Pulchra 24 Yellow Gold Diamonds,,,1,0,SCR,Mix,White MOP Diamond, Diamond YG, Standard YG, 8s, A
