Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
Watch,W7099,W7099,Used,Rolex,178274,340K15H4,Yes,Datejust,31mm,Steel,80.40g,GCI,LA - Main,Per/Pc,12221,"Doug Gruenberg, Inc.",12-02-2022,,"7,700.00","28,028.00",0,"8,050.00",1,,,Datejust 31 New Style Steel Crownclasp,,,1,0,SCR,2014,Blue Roman, Fluted WG, Jubilee D, 5s, A
Watch,W7102,W7102,New NS,Rolex,126303,Y209R885,Yes,Datejust,40mm,Steel and Yellow Gold,151.90g,GCI,LA - Main,Per/Pc,BuyBk 912479,Sako,12-03-2021,,"14,450.00","52,598.00",0,"14,450.00",1,,,Datejust 40 New Style Two Tone Oysterclasp,,,1,0,SCR,2021,Champagne Diamond, Smooth YG, Oyster,7s, A
Watch,W7107,W7107,Used,Rolex,16030,8707832,No,Datejust,36mm,Steel,109.70g,GCI,LA - Main,Per/Pc,CM7988,AJ Rosenberg,12-03-2021,,"2,650.00","9,646.00",0,"7,300.00",1,,,Datejust 36 Quick Set Sapphire Steel,,,1,0,8M,1984,Custom Black Diamond, Custom Diamond, Custom Diamond Center, 4s,B
Watch,W7108,W7108,New NS,Rolex,278243,P557C232,Yes,Datejust,31mm,Steel and Yellow Gold,100.00g,GCI,LA - Main,Per/Pc,720314,Jadar Corp,12-06-2021,,"12,200.00","44,408.00",0,"11,200.00",1,,,Datejust 31 New Style Two Tone Oysterclasp,,,1,0,SCR,2021,Champagne Diamond, Smooth YG, Jubilee D, 11s, A
Watch,W7114,W7114,Used,Rolex,16013,5177462,No,Datejust,36mm,Steel and Yellow Gold,85.20g,GCI,LA - Main,Per/Pc,12721,Micha Inc,12-07-2021,,"4,200.00","15,288.00",0,"11,700.00",1,,,Datejust 36 Quick Set Plastic Two Tone,,,1,0,5M,1977,Custom White MOP Diamond,Fluted YG, Jubilee B, 0s, F
Watch,W7120,W7120,Used,Rolex,6917,5892258,No,Datejust,26mm,Yellow Gold,79.90g,GCI,LA - Main,Per/Pc,None,Bhindi Jewelers,12-10-2020,,,0,0,0,1,,,Datejust 26 Non Quick Plastic Yellow Gold,,,1,0,5M,1978,Black Jubilee Diamond, Custom Diamond, President, 4s, A
Watch,W7125,W7125,Used,Rolex,68623,T784962,Yes,Yacht-Master,35mm,Steel and Yellow Gold,163.50g,GCI,LA - Main,Per/Pc,BuyBk 912482,Mr. Steve's Pawn Shop,12/13/2021,,"16,500.00","60,060.00",0,0,1,,,Yacht-Master 35 Two Tone,,,1,0,T,1997,White Standard, Standard YG, Oyster,7s, A
Watch,W7132,W7132,New NS,Rolex,126300,20Q59452,Yes,Datejust,40mm,Steel,139.20g,GCI,LA - Main,Per/Pc,Invoice No.00002942,TWC Inc.,12/14/2021,,"9,500.00","34,580.00",0,"7,650.00",1,,,Datejust 40 New Style Steel,,,1,0,SCR,2021,Blue Roman, Smooth, Oyster,7s, A
Watch,W7140,W7140,Used,Rolex,116718LN,V432097,Yes,GMT-Master II,40mm,Yellow Gold,218.60g,GCI,LA - Main,Per/Pc,14349,Timepiece Trading LLC.,11/26/2021,,"40,000.00","1,45,600.00",0,0,1,,,GMT-Master II Yellow Gold,,,1,0,V,2011,Black Standard, Black Ceramic Standard, Oyster, 6s, A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
