Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
Watch,W7322,W7322,Used,Rolex,18238,E804094,No,Day Date,36mm,Yellow Gold,140.10g,GCI,LA - Main,Per/Pc,None,SR INC,02-11-2022,,"17,000.00","61,880.00",0,"36,950.00",1,,,Day-Date 36 Double Quick Yellow Gold,,,1,0,E,1990,Champagne Diamond 8+2, Custom Diamond, President,7s, A
Watch,W7323,W7323,Used,Rolex,1803,2367085,No,Day Date,36mm,White Gold,50.70g,GCI,LA - Main,Per/Pc,None,SR INC,02-11-2022,,"6,900.00","25,116.00",0,"36,850.00",1,,,Day-Date 36 Non Quick White Gold,,,1,0,2M,1967,Silver Stick, Fluted WG, Head only, HO, HO
Watch,W7345,W7345,Used,Rolex,18038,9691550,No,Day Date,36mm,Yellow Gold,143.40g,GCI,LA - Main,Per/Pc,321,CM Timepieces,2/24/2022,,"15,000.00","54,600.00",0,"36,950.00",1,,,Day-Date 36 Single Quick Yellow Gold,,,1,0,9M,1986,Black Diamond,Fluted YG, President, 8s, A
Watch,W7348,W7348,New NS,Rolex,126334,68M131V3,Yes,Datejust,40mm,Steel,134.30g,GCI,LA - Main,Per/Pc,None,SR INC,2/17/2022,,"12,100.00","44,044.00",0,"10,250.00",1,,,Datejust 40 New Style Steel,,,1,0,SCR,2020,Silver Index, Fluted WG,Jubilee, 11s, A
Watch,W7349,W7349,Used,Rolex,79173,A737722,Yes,Datejust,26mm,Steel and Yellow Gold,54.40g,GCI,LA - Main,Per/Pc,,,2/24/2022,,"3,000.00","10,920.00","4,500.00","9,900.00",1,,,Datejust 26 Quick Set Sapphire Two Tone,,,1,0,A,1999,Champagne Stick,Fluted YG,Jubilee, 4s,B
Watch,W7350,W7350,Used,Rolex,1003,1214240,No,Oyster Perpetual,34mm,Steel,83.30g,GCI,LA - Main,Per/Pc,BuyBk 912495,Fresno Coin Gallery,2/24/2022,,"1,000.00","3,640.00",0,"6,150.00",1,,,Oyster Perpetual 34 Plastic Steel,,,1,0,1M,1959,Silver Stick, Custom Diamond, Oyster, 4s, A
Watch,W7351,W7351,New NS,Rolex,126613LB,S33D3589,Yes,Submariner,41mm,Steel and Yellow Gold,175.80g,GCI,LA - Main,Per/Pc,Invoice #10189,41Reserve LLC,2/24/2022,,"22,100.00","80,444.00",0,"14,700.00",1,,,Submariner 41 Ceramic Two Tone,,,1,0,SCR,2022,Blue Standard, Blue Ceramic Standard, Oyster,7s, A
Watch,W7354,W7354,New,Rolex,116505,C489Q191,Yes,Daytona,40mm,Rose Gold,218.60g,GCI,LA - Main,Per/Pc,None,Jacob Kassel LLC,2/28/2022,,"85,000.00","3,09,400.00","98,500.00","46,700.00",1,,,Daytona 40 Rose Gold,,,1,0,SCR,2021,Sundust Baguette, Standard RG, Oyster,7s, A
Watch,W7355,W7355,New,Rolex,126610LN,738E0808,Yes,Submariner,41mm,Steel,159.00g,GCI,LA - Main,Per/Pc,18081,Time Passion Miami,2/28/2022,,"17,500.00","63,700.00",0,"10,100.00",1,,,Submariner 41 Date Ceramic Steel,,,1,0,SCR,2022,Black Standard, Black Ceramic Standard, Oyster,7s, A
Watch,W7356,W7356,Used,Rolex,6426,786306,No,Oyster Perpetual,34mm,Steel,58.40g,GCI,LA - Main,Per/Pc,Buy Bk 912495,Fresno Coin Gallery,2/24/2022,,"1,000.00","3,640.00",0,"5,500.00",1,,,Oyster Perpetual 24 Plastic Steel,,,1,0,700K,1951,Silver Stick, Smooth, Oyster Old Style, 0s, A
