Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
WatchH,WH777086,WH777086,Used,Audemars Piguet,26320BA.OO.1220BA.02,J47409,No,Royal Oak Chronograph,41mm,Yellow Gold,259.70g,H,LA - Retail,Per/Pc,None,Watch Empire,02-02-2022,,"1,17,000.00","3,51,000.00","1,80,000.00",0,1,,,Royal Oak Chronograph 41mm Yellow Gold,,,1,0,J,Mix,Navy Blue , Standard YG, Standard YG, 6s, A
WatchH,WH777087,WH777087,Used,Audemars Piguet,25860ST.OO.1110ST.05,E74280-4813,Yes,Royal Oak Chronograph,39mm,Steel,160.00g,H,LA - Retail,Per/Pc,None,Watch Empire,02-02-2022,,"37,000.00","1,11,000.00","50,000.00",0,1,,,Royal Oak Chronograph 39 Steel,,,1,0,SCR,2003,White Tapisserie, Steel Standard, Steel Standard,7s, A
WatchH,WH777088,WH777088,Used,Audemars Piguet,26320ST.OO.1220ST.03,I97474,No,Royal Oak Chronograph,41mm,Steel,187.80g,H,LA - Retail,Per/Pc,None,Watch Empire,02-02-2022,,"51,000.00","1,53,000.00","75,000.00","33,800.00",1,,,Royal Oak Chronograph 41 Steel ,,,1,0,I,Mix,Blue Tapisserie Stick, Steel Standard, Steel Standard, 10s, A
WatchH,WH777090,WH777090,Used,Rolex,118239,P246051,No,Day Date,36mm,White Gold,184.10g,H,LA - Main,Per/Pc,None,Joel's Gold Store,02-04-2022,,"22,000.00","66,000.00",0,"40,600.00",1,,,Day-Date 36 Single Quick White Gold,,,1,0,P,2000,Silver Diamond Arabic, Custom Diamond, President, 8s, A
WatchH,WH777091,WH777091,Used,Audemars Piguet,15450OR.OO.1256OR.01,J34409-3533,No,Royal Oak,37mm,Rose Gold,166.40g,H,LA - Retail,Per/Pc,None,Watch Empire,10-05-2021,,"45,000.00","1,35,000.00",0,0,1,,,Royal Oak 37 Royal Oak Iced Out,,,1,0,SCR,Mix,Full Pave Arab, Custom Diamond, Standard Icedout, 10s, A
WatchH,WH777092,WH777092,Used,Rolex,16750,6726917,Yes,GMT-Master,40mm,Steel,111.00g,H,LA - Main,Per/Pc,BJ-32976,Beard's Diamonds,,,"8,000.00","24,000.00",0,"10,550.00",1,,,GMT-Master 40 Non Ceramic Steel,,,1,0,6M,1980,Black Standard, Blue and Red Standard, Oyster, 5s, A
WatchH,WH777093,WH777093,Used,Rolex,69178,E402241,No,Datejust,26mm,Yellow Gold,80.10g,H,LA - Main,Per/Pc,BJ-32976,Beard's Diamonds,02-07-2022,,"6,000.00","18,000.00",0,"36,800.00",1,,,Datejust 26 Quick Set Sapphire Yellow Gold ,,,1,0,E,1990,Custom Black Diamond, Custom Diamond, President Center Diamond, 6s,B
WatchH,WH777094,WH777094,Used,Rolex,228235,6Y168922,No,Day Date,40mm,Rose Gold,206.20g,H,LA - Retail,Per/Pc,None,Watch Empire,02-08-2022,,"46,000.00","1,38,000.00",0,"44,800.00",1,,,Day-Date 40New Style Rose Gold,,,1,0,SCR,Mix,Chocolate Baguette, Fluted RG, President, 11s, A
WatchH,WH777095,WH777095,Used,Rolex,116505,436L2242,Yes,Daytona,40mm,Rose Gold,213.30g,H,LA - Retail,Per/Pc,None,Watch Empire,02-08-2022,,"60,000.00","1,80,000.00","75,000.00","40,450.00",1,,,Daytpna 40 Rose Gold,,,1,0,SCR,2012,Rose and Black Standard, Standard RG, Oyster,7s, A
WatchH,WH777096,WH777096,Used,Rolex,6916,6433359,No,Datejust,26mm,Steel,50.90g,H,LA - Main,Per/Pc,BJ-32976,Beard's Diamonds,02-07-2022,,"5,000.00","15,000.00",0,"6,750.00",1,,,Datejust 26 Non Quick Steel,,,1,0,6M,1979,Custom White Diamond, Custom Diamond, Oyster, 5s, A
