Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
Watch,WY888682,WY888682,Like New,Rolex,116334,103VR347,Yes,Datejust II,42mm,Steel,149.00g,Y,LA - Main,Per/Pc,,Harout,6/17/2019,,"7,500.00","22,500.00","12,000.00","11,600.00",1,,,Datejust 41 (II) Steel Fluted Bezel,,,1,0,SCR,Mix,Dark Rhodium Diamonds, Fluted WG, Oyster,7s, A
Watch,WY888690,WY888690,Used,Rolex,6605,221452,No,Datejust,36mm,Steel,41.50g,Y,LA - Main,Per/Pc,,Smyth Jewelers,4/29/2019,,"1,000.00","3,000.00","5,000.00","7,300.00",1,,,Datejust 36 Steel,,,1,0,2M,1941,White Stick, Engine Turned, Head only, HO, HO
Watch,WY888694,WY888694,Used,Rolex,179175F,M991915,No,Datejust,26mm,Rose Gold,106.10g,Y,New York,Per/Pc,,Watch Empire,01-04-2021,,"6,667.00","20,001.00","12,000.00","26,150.00",1,,,Datejust 26 New Style Rose Gold,,,1,0,M,2007,White Roman,Fluted RG,President,9s,A
Watch,WY888700,WY888700,Used,Rolex,178341,8J413233,No,Datejust,31mm,Steel and Rose Gold,98.20g,Y,New York,Per/Pc,,Watch Empire,01-04-2021,,"7,000.00","21,000.00","12,000.00","14,900.00",1,,,Datejust 31 New Style Two Tone Diamond Bezel,,,1,0,SCR,Mix,Chocolare Roman VI Diamond,Fluted RG,Oyster,4s,A
Watch,WY888704,WY888704,Used,Corum,B113/00824 - 113.102.85/0001 0000,2321583,No,Golden Bridge,43X21,Yellow Gold,54.80g,Y,New York,Per/Pc,,Watch Empire,01-04-2021,,"7,000.00","21,000.00",0,0,1,,,Miss Golden Bridge Yellow Gold,,,1,0,,Mix,Skeleton,Diamond,Leather,LTHR,LTHR
Watch,WY888707,WY888707,Used,Rolex,69178,R984511,No,President,26mm,Yellow Gold,67.50g,Y,New York,Per/Pc,,Watch Empire,05-09-2019,,"5,000.00","15,000.00",0,"33,500.00",1,,,Ladys President 26,,,1,0,R,1988,Full Pave Custum Diamond,Custum Diamond YG,President,2s,B
Watch,WY888708,WY888708,Used,Rolex,16570 T,F598806,No,Explorer II,40mm,Steel,125.70g,Y,LA - Main,Per/Pc,,Ookura,4/29/2018,,"4,250.00","12,750.00","9,000.00","8,350.00",1,,,Explorer II PVD,,,1,0,F,2003,Black Standard, 24 Hour PVD Bezel, Oyster, 5s, A
Watch,WY888710,WY888710,Used,Rolex,16613,A881168,Yes,Submariner,40mm,Steel and Yellow Gold,145.20g,Y,New York,Per/Pc,194753,Worldwide Hours LLC.,01-12-2020,,"7,600.00","22,800.00","22,800.00","14,100.00",1,,,Submariner 40 Non Ceramc Two Tone,,,1,0,A,1999,Blue Standard,Blue Standard,Oyster,4s,A
Watch,WY888714,WY888714,Used,Rolex,218239,V435972,,Day-Date,41mm,White Gold,209.70g,Y,LA - Main,Per/Pc,BuyBk 912300,Angel City,01-06-2021,,"30,000.00","90,000.00",0,0,1,,,Day-Date 41 White Gold,,,1,0,V,2008,Blue Wave Arabic,Fluted WG,President,8s,A
Watch,WY888716,WY888716,Used,Audemars Piguet,0,H20397-3658,No,Royal Oak,39mm,Steel,159.70g,Y,New York,Per/Pc,BuyBk 912303,Angel City,1/14/2021,,"18,000.00","54,000.00","25,000.00",0,1,,,Royal Oak 39 Steel,,,1,0,Mix,,Blue Tapisserie, Steel Standard, Standard, 4s, A
