Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
WatchY,WY888881,WY888881,Used,Rolex,116505,5K695498,Yes,Daytona,40mm,Rose Gold,215.70g,Y,LA - Main,Per/Pc,18052,Time Passion Miami,44615,Rolex-116505-Daytona,67500,202500,0,40450,1,,,Daytona 40 Rose Gold,,,1,0,SCR,2014,Chocolate Standard, Standard RG, Oyster,7s, A
WatchY,WY888880,WY888880,Used,Patek Philippe,5980/1AR-001,5790208/4663839,Yes,Nautilus,40.5mm,Steel and Rose Gold,180.40g,Y,LA - Main,Per/Pc,None,ECJ Luxe Collection,44603,Patek Philippe-5980/1AR-001-Nautilus,165000,495000,185000,0,1,,,Nautilus 40.5 Two Tone,,,1,0,SCR,2014,Blue Standard, Standard RG, Standard, 6s, A
WatchY,WY888879,WY888879,Used,Cartier,W20010C5,0,No,Santos Galbée,29mm,Yellow Gold,97.10g,Y,LA - Main,Per/Pc,None,Adrian Argentina,44585,Cartier-W20010C5-Santos Galbée,5200,15600,0,0,1,,,Santos Galbee 29 Yellow Gold,,,1,0,SCR,Mix,White Roman, Standard YG, Standard YG, 0s, A
WatchY,WY888876,WY888876,Used,Rolex,126711CHNR,K4863150,Yes,GMT-Master II,40mm,Steel and Rose Gold,0.00g,Y,New York,Per/Pc,None,Watch Empire,44586,Rolex-126711CHNR-GMT-Master II,26000,78000,0,15250,1,,,GMT-Master II Ceramic Two Tone,,,1,0,SCR,,Black Standard, Ceramic Standard, Oyster, 6s, A
WatchY,WY888873,WY888873,Used,Cartier,WGBB0005,3002453296VX,No,Ballon Bleu,33mm,Yellow Gold,0.00g,Y,New York,Per/Pc,None,Watch Empire,44586,Cartier-WGBB0005-Ballon Bleu,14000,42000,0,0,1,,,Ballon Bleu 33 Yellow Gold,,,1,0,SCR,Mix,Silver Roman, Standard YG, Standard YG,, A
WatchY,WY888871,WY888871,Used,Rolex,126710BLNR,7W808648,Yes,GMT-Master II,40mm,Steel,0.00g,Y,LA - Main,Per/Pc,None,Watch Empire,44586,Rolex-126710BLNR-GMT-Master II,19750,59250,0,10750,1,,,GMT-Master II Ceramic Steel ,,,1,0,SCR,2020,Black Standard, Ceramic Standard,Jubilee, 9s, A
WatchY,WY888860,WY888860,Used,Cartier,WSSA0009,4072135230YX,Yes,Santos,39.8mm,Steel Iced Out,0.00g,Y,LA - Retail,Per/Pc,None,Rex Watches Llc.,44565,Cartier-WSSA0009-Santos,13000,39000,19500,0,1,,,Santos de Cartier 40 Steel Iced Out,,,1,0,SCR,2019,Full Pave Roman, Custom Diamond, Standard Icedout, 10s, A
WatchY,WY888859,WY888859,New NS,Rolex,116515,63H07599,Yes,Daytona,40mm,Rose Gold,156.20g,GCI,New York,Per/Pc,None,Watch Empire,44571,Rolex-116515-Daytona,40000,120000,50000,30500,1,,,Daytona 40 Rose Gold Oysterflex,,,1,0,SCR,Mix,Black Index, Black Ceramic Standard, Oysterflex, RBR, RBR
WatchY,WY888858,WY888858,Used,Rolex,116578,8Y2353W8,Yes,Daytona,,Yellow Gold,200.00g,Y,New York,Per/Pc,None,Watch Empire,44571,Rolex-116578-Daytona,160000,480000,250000,0,1,,,Daytona 40 Orage Sapphire Bezel Yellow Gold,,,1,0,SCR,Mix,White MOP Diamond,, Oyster,7s, A
Watch,WY888857,WY888857,New,Patek Philippe,5980/1R-001,7297745-6329084,Yes,Nautilus,40.5mm,Rose Gold,254.40g,GCI,LA - Main,Per/Pc,BuyBk 912480,Mr. Timepiece LLC,44539,Patek Philippe-5980/1R-001-Nautilus,260000,780000,0,0,1,,,Nautilus 40 Rose Gold,,,1,0,SCR,2020,Black Standard,Standard RG,Standard Rose Gold,9s,A
WatchY,WY888855,WY888855,Used,Audemars Piguet,26470BA.OO.1000BA.01,J58961,Yes,Royal Oak Offshore,42mm,Yellow Gold,340.80g,Y,LA - Main,Per/Pc,BuyBk 912476,Felix Lee,44529,Audemars Piguet-26470BA.OO.1000BA.01-Royal Oak Offshore,105000,315000,0,0,1,,,Royak Oak Offshore 42 Yellow Gold,,,1,0,J,Mix,Blue Tappiserie , Standard YG, Standard YG, 10s, A
WatchY,WY888852,WY888852,Used,Rolex,178288,M810818,No,Datejust,31mm,Yellow Gold,139.90g,GCI,LA - Main,Per/Pc,,Fresno Coin Gallery,44490,Rolex-178288-Datejust,25000,75000,0,40600,1,,,Datejust 31 Yellow Gold New Buckle,,,1,0,M,2007,Champagne Diamond,Diamond,President,9s,A
