Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
Watch,W5623,W5623,Used,Rolex,116203,D510764,Yes,Datejust,36mm,Steel and Yellow Gold,127.50g,GCI,LA - Main,Per/Pc,82520,"Doug Gruenberg, Inc.",8/25/2020,,7750,28210,11500,12900,1,,,Datejust 36 New Style Two Tone,,,1,0,D,2005,Champagne Roman, Smooth, Oyster, 4s, A
Watch,W5638,W5638,New,Rolex,116610LN,E69N3595,Yes,Submariner,40mm,Steel,162.80g,GCI,LA - Main,Per/Pc,1004,Time Wise Watches,8/26/2020,,12150,44226,16000,8950,1,,,Submariner Ceramic Steel,,,1,0,SCR,2020,Black Standard,, Oyster, 9s, A
Watch,W5655,W5655,Used,Rolex,178274,618U7334,Yes,Datejust,31mm,Steel,90.90g,GCI,LA - Main,Per/Pc,8192020,Epic Watch Deals Llc.,8/19/2020,,7000,25480,9800,9500,1,,,Datejust 31 New Style Steel,,,1,0,SCR,2015,Black Diamond, Fluted WG, Oyster, 4s, A
Watch,W5700,W5700,Used,Rolex,116334,75JG3843,Yes,Datejust,41mm,Steel,146.10g,GCI,LA - Main,Per/Pc,84976,Ivan's Watches and Wholesale Inc.,9/2/2020,,8500,30940,12000,9650,1,,,Datejust 41 New Style Steel,,,1,0,SCR,2013,Silver Diamond, Fluted WG, Oyster, 6s, A
Watch,W5730,W5730,Used,Rolex,116234,V870881,Yes,Datejust,36mm,Steel,117.80g,GCI,LA - Main,Per/Pc,0119-12190,Accar Watches,9/9/2020,,6432,23412.48,7718.4,8550,1,,,Datejust 36 New Style Steel,,,1,0,V,2010,Blue Tuxedo Arabic,Fluted WG,Jubilee D,7s,A
Watch,W5732,W5732,Used,Rolex,69173,8212238,Yes,Datejust,26mm,Steel and Yellow Gold,55.70g,GCI,LA - Main,Per/Pc,3210,Shabtai Trading Inc.,9/11/2020,,2500,9100,3500,8700,1,,,Datejust 26 Quick Set Sapphire Two Tone,,,1,0,8M,1985,Black Stick,Fluted YG,Jubilee,5s,E
Watch,W5742,W5742,New NS,Rolex,116610LV,K6089249,Yes,Submariner Ceramic Date,40mm,Steel,160.70g,GCI,LA - Main,Per/Pc,1041,"AFC Watches, Llc.",9/9/2020,,21500,78260,25800,9350,1,,,Submariner Ceramic Steel,,,1,0,SCR,2020,Green Standard,Green Ceramic Standard,Oyster,7s,A
Watch,W5753,W5753,Used,Rolex,16014,8437391,Yes,Datejust,36mm,Steel,90.20g,GCI,LA - Main,Per/Pc,9142020,Johns Watches,9/14/2020,,3700,13468,4440,0,1,,,Datejust 36 Quick Set Plastic Steel,,,1,0,S,1985,Black Stick,Fluted WG,Jubilee,4s,E
Watch,W5768,W5768,Used,Rolex,1501,1337892,No,Date,34mm,Steel PVD,53.50g,GCI,LA - Main,Per/Pc,9182020,Johns Watches,9/18/2020,,3300,12012,8500,0,1,,,Date 34 Non Quick Plastic Steel PVD  Sunset Custom,,,1,0,3M,1959,Custom Sunset Stick, Engine Turned, Painted LTHR, LTHR, LTHR
Watch,W5769,W5769,Used,Rolex,16750,6656480,No,GMT-Master,40mm,Steel,101.00g,GCI,LA - Main,Per/Pc,5051259,Smyth Jewelers,9/21/2020,,13800,50232,18000,9700,1,,,GMT-Master Non Ceramic Steel,,,1,0,6M,1980,Black Standard, Pepsi Standard, Jubilee D, 6s, C
