Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade
WatchP,WP999331,WP999331,New,Rolex,116900,2C876352,Yes,Air-King,40mm,Steel,0.00g,MT,MT,Per/Pc,158999,Maxed Time Llc.,3/31/2022,,"10,750.00","39,130.00",0,"7,400.00",1,,,Air-King 40 Steel,,,1,0,SCR,2021,Black Standard, Smooth, Oyster,, A
WatchP,WP999332,WP999332,Used,Franck Muller,Mystery Circa,No.40,No,Mystery,42mm,White Gold,101.70g,Lux-Bzr,LX,Per/Pc,None,Luxury Bazaar INC,04-07-2022,,"50,000.00","1,50,000.00",0,0,1,,,Mystery 40 White Gold Full Diamond Baguette Bezel,,,1,0,SCR,Mix,Full Pave Blue Sapphire Markers, Diamond WG, Leather, LTHR, LTHR
WatchY,WY888108,WY888108,Used,Rolex,1680,5645757,No,Submariner Date Vintage,40mm,Steel,119.50g,Y,New York,Per/Pc,,,08-03-2017,,"5,000.00","15,000.00","20,000.00","12,395.00",1,,,Submariner Date with Holes,,,1,0,5 M,1978,Black Stick,, Oyster, 4s,B
WatchY,WY888127,WY888127,Used,Rolex,116244,V772554,No,Datejust,36mm,Steel,115.10g,Y,LA - Main,Per/Pc,,Farhad,11-06-2015,,"6,250.00","18,750.00","14,000.00","15,550.00",1,,,Datejust 36mm Factory Bezel,,,1,0,V,2008,Silver Index, Diamond,Jubilee, 6s, A
WatchY,WY888152,WY888152,Used,Rolex,6917,2374856,No,Datejust,26mm,Yellow Gold,25.60g,Y,New York,Per/Pc,,Rex Watches Llc.,2/21/2018,,"2,200.00","6,600.00","2,640.00","33,500.00",1,,,Datejust 26 Non Quick,,,1,0,2M,1970,Jubile Diamond,Diamond YG,Head only,HO,HO
WatchY,WY888206,WY888206,Used,Rolex,1675,5748603,No,GMT-Master,40mm,Steel,56.20g,Y,New York,Per/Pc,,Menta Watches,6/18/2018,,"8,800.00","26,400.00","18,000.00","19,495.00",1,,,GMT - MASTER,,,1,0,5M,1979,Black standard,, Head only, HO, HO
WatchY,WY888233,WY888233,Used,Rolex,5513,2041320,No,Submariner,40mm,Steel,61.60g,Y,LA - Main,Per/Pc,,Rex Watches Llc.,08-10-2018,,"5,000.00","15,000.00","6,000.00","12,395.00",1,,,Vintage Submariner No Date Steel,,,1,0,2M,1986,Black Standard,Black Standard,Head Only,HO,HO
WatchY,WY888238,WY888238,Used,Rolex,16233,T855137,No,Datejust,36mm,Steel and Yellow Gold,102.80g,Y,New York,Per/Pc,,Fasil,6/20/2018,,"3,500.00","10,500.00","5,500.00","13,650.00",1,,,Datejust 36 Sapphire Quick Two Tone,,,1,0,T,1995,Custom Pink MOP,Fluted YG, Jubilee D, 6s, D
WatchY,WY888240,WY888240,Used,Rolex,16803,8478842,Yes,Submariner,40mm,Steel and Yellow Gold,138.00g,Y,New York,Per/Pc,,Time Wise Watches,04-04-2017,,"5,700.00","17,100.00","6,840.00","13,925.00",1,,,Submariner Date Two Tone,,,1,0,8M,1984,Champagne Serti,Standard Black,Oyster,4s,B
WatchY,WY888254,WY888254,Used,Rolex,228398,Z406566,No,Day-Date,40mm,Yellow Gold,76.68g,Y,New York,Per/Pc,,Fasil,8/29/2018,,"34,000.00","1,23,760.00","40,800.00","83,650.00",1,,,Day-Date 40,,,1,0,Z,2006,Baguette Diamond,Baguette Diamond Standard,President,204,A
WatchY,WY888261,WY888261,Used,Rolex,1803,5132747,No,Day-Date,36mm,Yellow Gold,120.30g,Y,New York,Per/Pc,,Altier,09-06-2018,,"6,500.00","19,500.00","7,800.00","33,150.00",1,,,Day-Date 36 Non Quick,,,1,0,5M,1977,Indigo Stick,Fluted YG,President,0s,C
WatchY,WY888312,WY888312,Used,Rolex,116506,6MU10574,Yes,Daytona,40mm,Platinum,285.80g,Y,New York,Per/Pc,,Craft and Tailored,12-11-2018,,"45,000.00","1,35,000.00","54,000.00","75,000.00",1,,,Daytona Platinum,,,1,0,SCR,Mix,Ice Blue/Brown Standard,Brown Standard,Oyster,7s,A
WatchY,WY888318,WY888318,Used,Tag Heuer,SBF8A8001,AN1380HR65100Z7,No,Connected,45mm,Titanium,129.70g,Y,New York,Per/Pc,,Fasil,,,500,"1,500.00",600,"2,000.00",1,,,Connected,,,1,0,SCR,,Black Standard,Black Standard,Titanium Standard,9S,A
WatchY,WY888323,WY888323,New,Rolex,116710,1272K494,No,GMT-Master II,40mm,Steel,152.50g,Y,New York,Per/Pc,,South Bay Gold,9/18/2018,,"6,500.00","19,500.00","7,800.00","12,395.00",1,,,GMT-Master II Ceramic Steel,,,1,0,SCR,Mix,Black Standard,Black Standard,Oyster,8s,A
WatchY,WY888342,WY888342,New,Rolex,116719BLRO,S69C2575,Yes,GMT-Master II,40mm,White Gold,224.76g,Y,LA - Main,Per/Pc,,Saxon's Diamond Centers,1/31/2018,,"23,600.00","70,800.00","28,320.00","38,250.00",1,,,GMT-Master (II) White Gold,,,1,0,SCR,Mix,Black Standard,Pepsi Ceramic Standard,Oyster,8s,A
WatchY,WY888349,WY888349,Used,Rolex,1680,0,No,Submariner Date,40mm,Steel,64.10g,Y,LA - Main,Per/Pc,,Watch Empire,02-08-2019,,"5,500.00","16,500.00","20,000.00","12,395.00",1,,,Submariner Date Steel,,,1,0,,,Black Standard, Black Standard,, HO, HO
WatchY,WY888420,WY888420,Used,Rolex,118206,P900632,No,Day-Date,36mm,Platinum,226.26g,Y,New York,Per/Pc,,Watch Empire,5/22/2019,,"15,000.00","45,000.00","18,000.00","57,600.00",1,,,Day-Date 36 Platinum,,,1,0,P,2000,Silver Stick,Domed Platinum,President,8s,A
WatchY,WY888436,WY888436,Used,Rolex,69319,W057278,No,Pearlmaster,29mm,White Gold,85.70g,Y,LA - Main,Per/Pc,,Alfa Jewelers,06-11-2019,,"5,000.00","15,000.00","13,000.00","47,350.00",1,,,Pearl-Master 29 White Gold,,,1,0,W,1995,Custom Diamond Roman, Custom Diamond, Pearlmaster Custom, 2s, A
WatchY,WY888442,WY888442,Used,Rolex,18038,6620720,No,Day-Date,36mm,Yellow Gold,128.00g,Y,LA - Main,Per/Pc,,Rex Watches Llc.,,,"7,500.00","22,500.00","14,850.00","49,250.00",1,,,Day-Date 36 Single Quick,,,1,0,6M,1980,Custom Black Diamond, Custom Diamond, Custom Florentine Diamond President, 3s,B
WatchY,WY888444,WY888444,Used,Patek Philippe,5711/1A-011,7051889/6177852,Yes,Nautilus,40mm,Steel,124.60g,Y,LA - Main,Per/Pc,,Juan Ortega,07-10-2019,,"52,000.00","1,56,000.00","1,00,000.00","30,620.00",1,,,Patek Philippe Nautilus,,,1,0,SCR,,Silvery White, Steel Standard, Standard, 9s, A
WatchY,WY888451,WY888451,Used,Rolex,16520,L242060,,Daytona,40mm,Steel,116.60g,Y,New York,Per/Pc,,Rex Watches Llc.,,,"15,800.00","47,400.00","18,960.00","18,495.00",1,,,Daytona Steel,,,1,0,L,1989,White Standard,Standard,Oyster,3s,B
WatchY,WY888464,WY888464,Used,Rolex,16523,P146729,Yes,Daytona,40mm,Steel and Yellow Gold,140.60g,Y,New York,Per/Pc,CM8202019,Sachs,8/20/2019,,"11,000.00","33,000.00","13,200.00","17,400.00",1,,,Daytona Two Tone,,,1,0,P,2000,White Standard,Standard YG,Oyster,5s,A
WatchY,WY888465,WY888465,Used,Rolex,16003,6758183,Yes,Datejust,36mm,Steel and Yellow Gold,86.80g,Y,LA - Main,Per/Pc,CM8202019,Sachs,8/20/2019,,"2,000.00","6,000.00","2,400.00","11,600.00",1,,,Datejust 36 Non Quick Plastic Two Tone,,,1,0,6M,1980,White Roman,Smooth,Jubilee D,2s,E
